file_name,tag
happy_1002.wav,happy
happy_1003.wav,happy
happy_1004.wav,happy
happy_1007.wav,happy
happy_1008.wav,happy
happy_1009.wav,happy
happy_1012.wav,happy
happy_1013.wav,happy
happy_1014.wav,happy
happy_1017.wav,happy
happy_1018.wav,happy
happy_1019.wav,happy
happy_102.wav,happy
happy_1022.wav,happy
happy_1023.wav,happy
happy_1024.wav,happy
happy_1027.wav,happy
happy_1028.wav,happy
happy_1029.wav,happy
happy_103.wav,happy
happy_1032.wav,happy
happy_1033.wav,happy
happy_1034.wav,happy
happy_1037.wav,happy
happy_1038.wav,happy
happy_1039.wav,happy
happy_104.wav,happy
happy_1042.wav,happy
happy_1043.wav,happy
happy_1044.wav,happy
happy_1047.wav,happy
happy_1048.wav,happy
happy_1049.wav,happy
happy_1052.wav,happy
happy_1053.wav,happy
happy_1054.wav,happy
happy_1057.wav,happy
happy_1058.wav,happy
happy_1059.wav,happy
happy_1062.wav,happy
happy_1063.wav,happy
happy_1064.wav,happy
happy_1067.wav,happy
happy_1068.wav,happy
happy_1069.wav,happy
happy_107.wav,happy
happy_1072.wav,happy
happy_1073.wav,happy
happy_1074.wav,happy
happy_1077.wav,happy
happy_1078.wav,happy
happy_1079.wav,happy
happy_108.wav,happy
happy_1082.wav,happy
happy_1083.wav,happy
happy_1084.wav,happy
happy_1087.wav,happy
happy_1088.wav,happy
happy_1089.wav,happy
happy_109.wav,happy
happy_1092.wav,happy
happy_1093.wav,happy
happy_1094.wav,happy
happy_1097.wav,happy
happy_1098.wav,happy
happy_1099.wav,happy
happy_1102.wav,happy
happy_1103.wav,happy
happy_1104.wav,happy
happy_1107.wav,happy
happy_1108.wav,happy
happy_1109.wav,happy
happy_1112.wav,happy
happy_1113.wav,happy
happy_1114.wav,happy
happy_1117.wav,happy
happy_1118.wav,happy
happy_1119.wav,happy
happy_112.wav,happy
happy_1122.wav,happy
happy_1123.wav,happy
happy_1124.wav,happy
happy_1127.wav,happy
happy_1128.wav,happy
happy_1129.wav,happy
happy_113.wav,happy
happy_1132.wav,happy
happy_1133.wav,happy
happy_1134.wav,happy
happy_1137.wav,happy
happy_1138.wav,happy
happy_1139.wav,happy
happy_114.wav,happy
happy_1142.wav,happy
happy_1143.wav,happy
happy_1144.wav,happy
happy_1147.wav,happy
happy_1148.wav,happy
happy_1149.wav,happy
happy_1152.wav,happy
happy_1153.wav,happy
happy_1154.wav,happy
happy_1157.wav,happy
happy_1158.wav,happy
happy_1159.wav,happy
happy_1162.wav,happy
happy_1163.wav,happy
happy_1164.wav,happy
happy_1167.wav,happy
happy_1168.wav,happy
